Date,Open,Close,High,Low
21 Mar 2022,106.02,103.56,106.52,102.98
18 Mar 2022,106.98,106.54,107.04,103.58
17 Mar 2022,107.74,106.84,108.12,104.52
16 Mar 2022,106.02,108.04,109.78,105.32
15 Mar 2022,104.26,103.18,104.54,101.28
14 Mar 2022,105.52,105.34,108.12,104.56
11 Mar 2022,101.02,104.14,106.52,101.0
10 Mar 2022,104.78,101.26,105.04,99.12
09 Mar 2022,99.56,104.48,104.48,98.68
08 Mar 2022,94.0,95.45,99.28,93.4
07 Mar 2022,93.79,95.31,98.84,91.48
04 Mar 2022,102.26,97.0,103.26,95.65
03 Mar 2022,108.3,103.76,109.76,103.3
02 Mar 2022,103.64,108.26,109.8,100.56
01 Mar 2022,114.74,103.7,114.74,103.7
28 Feb 2022,112.1,114.7,115.42,110.92
25 Feb 2022,108.62,114.54,114.8,107.9
24 Feb 2022,108.56,108.1,109.9,103.3
23 Feb 2022,112.9,112.34,116.34,111.74
22 Feb 2022,108.68,113.18,113.62,108.02
21 Feb 2022,114.66,111.0,115.14,110.66
18 Feb 2022,114.06,113.44,115.24,112.72
17 Feb 2022,115.4,114.36,116.88,113.1
16 Feb 2022,115.3,116.0,117.2,114.7
15 Feb 2022,111.8,115.0,115.54,111.38
14 Feb 2022,112.5,112.22,113.3,109.02
11 Feb 2022,113.46,115.02,115.58,113.02
10 Feb 2022,113.3,115.08,115.3,112.22
09 Feb 2022,109.7,112.66,113.22,109.68
08 Feb 2022,107.6,108.74,109.28,107.3
07 Feb 2022,106.5,107.54,107.88,105.38
04 Feb 2022,107.98,106.16,108.8,104.66
03 Feb 2022,109.84,107.42,110.66,107.24
02 Feb 2022,111.14,109.86,113.54,109.56
01 Feb 2022,108.78,110.98,111.1,108.68
31 Jan 2022,105.68,106.62,106.84,103.5
28 Jan 2022,107.48,103.94,108.1,102.68
27 Jan 2022,106.68,108.02,109.22,106.5
26 Jan 2022,106.76,109.24,109.9,106.76
25 Jan 2022,105.58,105.88,107.68,103.7
24 Jan 2022,109.56,104.02,110.9,103.94
21 Jan 2022,111.88,111.14,113.64,110.36
20 Jan 2022,112.24,112.7,113.14,111.52
19 Jan 2022,112.62,112.18,115.14,111.64
18 Jan 2022,112.0,112.06,112.3,109.16
17 Jan 2022,113.68,112.56,113.86,111.98
14 Jan 2022,111.76,112.8,113.2,111.0
13 Jan 2022,109.72,112.36,112.36,109.7
12 Jan 2022,111.02,109.88,112.0,108.86
11 Jan 2022,113.02,110.88,113.3,110.18
10 Jan 2022,112.0,112.64,114.48,111.66
07 Jan 2022,111.68,112.16,112.26,110.4
06 Jan 2022,109.88,111.74,112.9,109.68
05 Jan 2022,111.04,111.7,111.98,109.38
04 Jan 2022,110.58,110.82,111.46,109.96
03 Jan 2022,108.34,110.08,110.86,107.8
31 Dec 2021,106.96,107.66,107.66,106.48
30 Dec 2021,105.8,107.08,107.28,105.4
29 Dec 2021,106.74,105.96,107.82,105.58
28 Dec 2021,106.68,106.88,107.08,106.08
27 Dec 2021,106.54,106.68,107.16,105.2
24 Dec 2021,106.08,106.7,106.7,105.6
23 Dec 2021,105.16,107.04,107.26,105.16
22 Dec 2021,101.54,104.56,104.56,101.3
21 Dec 2021,100.9,101.54,102.36,99.93
20 Dec 2021,99.09,99.44,100.64,96.17
17 Dec 2021,100.0,101.24,101.6,99.46
16 Dec 2021,100.3,100.0,101.24,99.26
15 Dec 2021,100.94,98.5,100.94,98.4
14 Dec 2021,101.34,100.56,102.34,100.32
13 Dec 2021,104.46,100.68,104.46,100.68
10 Dec 2021,105.2,103.82,106.04,103.82
09 Dec 2021,106.5,105.96,106.76,104.84
08 Dec 2021,105.54,107.52,108.6,103.6
07 Dec 2021,105.2,106.06,106.84,104.18
06 Dec 2021,100.42,103.78,104.36,99.11
03 Dec 2021,102.88,98.66,103.72,97.94
02 Dec 2021,101.6,102.14,105.02,101.1
01 Dec 2021,100.0,103.12,103.24,99.38
30 Nov 2021,99.66,98.78,101.56,96.88
29 Nov 2021,102.5,101.6,103.78,101.0
26 Nov 2021,106.6,101.1,106.6,99.17
25 Nov 2021,112.36,112.66,113.08,111.32
24 Nov 2021,112.88,112.48,113.76,110.8
23 Nov 2021,111.2,112.22,113.54,111.1
22 Nov 2021,113.4,111.6,114.16,111.1
19 Nov 2021,116.0,112.96,116.38,111.5
18 Nov 2021,116.22,115.82,117.66,115.08
17 Nov 2021,119.3,116.2,119.32,115.74
16 Nov 2021,120.48,119.48,121.38,119.36
15 Nov 2021,121.3,120.66,122.92,120.18
12 Nov 2021,121.28,121.12,122.48,120.94
11 Nov 2021,122.52,121.58,123.12,121.02
10 Nov 2021,120.54,123.0,123.0,120.26
09 Nov 2021,119.94,120.62,122.72,119.94
08 Nov 2021,120.24,120.12,121.28,118.84
05 Nov 2021,114.5,120.36,120.6,112.7
04 Nov 2021,115.0,114.6,116.48,114.14
03 Nov 2021,114.86,113.98,114.96,113.2
02 Nov 2021,115.12,115.18,115.58,114.0
